source,target
https://www.kompas.com/,https://www.kompas.com/food/read/2024/11/05/193637875/restoran-ojju-k-food-dan-isshin-dapat-sertifikat-halal
https://www.kompas.com/,http://www.kompas.com/tag/perwira-polisi-tonjok-sopir-taksi-online
https://www.kompas.com/,https://www.kompas.com/tren?source=kompascom&medium=footer
https://www.kompas.com/,https://www.kompas.com/tren/read/2024/11/05/200000565/bmkg-ungkap-alasan-di-balik-meningkatnya-siklon-tropis-apa-penyebabnya-
https://www.kompas.com/,https://www.kompas.com/global/read/2024/11/05/102922670/china-umumkan-prabowo-akan-berkunjung-akhir-pekan-ini-sebut-atas-undangan
https://www.kompas.com/,https://www.kompas.com/tren/read/2024/11/05/191500565/kata-kpg-dan-ugm-soal-dugaan-plagiat-buku-peter-carey
https://www.kompas.com/,https://www.kompas.com/topik-pilihan?source=kompascom&medium=footer
https://www.kompas.com/,http://www.kompas.com/tag/daun-pandan
https://www.kompas.com/,https://www.kompas.com/
https://www.kompas.com/,https://www.kompas.com/topik-pilihan/list/7782/kalbe-health-corner
https://www.kompas.com/,https://www.kompas.com/food/gallery
https://www.kompas.com/,http://www.kompas.com/tag/surabaya
https://www.kompas.com/,https://www.kompas.com/global/read/2024/11/05/101216570/pilpres-as-2024-pertaruhan-sejarah-di-tengah-polarisasi
https://www.kompas.com/,https://www.kompas.com/cekfakta
https://www.kompas.com/,https://www.kompas.com/properti/read/2024/10/23/083000621/ada-pelatihan-menteri-dan-wamen-di-magelang-ahy-nostalgia
https://www.kompas.com/,https://www.kompas.com/food?source=kompascom&medium=footer
https://www.kompas.com/,http://www.kompas.com/tag/judi-online
https://www.kompas.com/,https://www.kompas.com/food/food-news
https://www.kompas.com/,https://www.kompas.com/hype
https://www.kompas.com/,https://www.kompas.com/feedback
https://www.kompas.com/,https://www.kompas.com/motogp
https://www.kompas.com/,https://www.kompas.com/tren?source=navbar
https://www.kompas.com/,https://www.kompas.com/tren/read/2024/11/05/194500965/profil-jill-stein-capres-alternatif-as-yang-dikenal-anti-israel
https://www.kompas.com/,https://www.kompas.com/properti/read/2024/10/23/080000221/ara-usulkan-program-3-juta-rumah-gunakan-konsep-gotong-royong
